"Date","Price","Open","High","Low","Vol.","Change %"
"11/16/2022","1,108.27","1,103.43","1,117.97","1,099.29","533.73M","-1.46%"
"11/15/2022","1,124.69","1,135.92","1,143.26","1,111.93","549.11M","1.24%"
"11/14/2022","1,110.93","1,118.53","1,128.54","1,109.59","503.11M","-1.71%"
"11/11/2022","1,130.23","1,106.12","1,135.99","1,101.20","554.10M","2.46%"
"11/10/2022","1,103.07","1,073.16","1,104.89","1,066.48","686.69M","7.70%"
"11/09/2022","1,024.24","1,049.15","1,055.48","1,023.30","488.53M","-3.12%"
"11/08/2022","1,057.18","1,062.27","1,069.96","1,042.98","498.02M","-0.30%"
"11/07/2022","1,060.39","1,073.62","1,074.02","1,049.76","426.69M","-0.62%"
"11/04/2022","1,066.96","1,083.98","1,092.65","1,045.99","546.49M","0.86%"
"11/03/2022","1,057.84","1,059.07","1,071.57","1,052.81","521.59M","-0.88%"
"11/02/2022","1,067.26","1,107.57","1,114.21","1,066.87","515.97M","-3.79%"
"11/01/2022","1,109.34","1,144.33","1,146.40","1,106.49","480.22M","-1.35%"
"10/31/2022","1,124.52","1,127.56","1,133.82","1,114.43","478.67M","-0.69%"
"10/28/2022","1,132.37","1,099.51","1,133.82","1,092.15","556.10M","-0.30%"
"10/27/2022","1,135.78","1,149.31","1,154.21","1,132.44","483.06M","-0.72%"
"10/26/2022","1,144.03","1,141.62","1,167.69","1,137.25","479.90M","-1.06%"
"10/25/2022","1,156.26","1,131.13","1,159.63","1,131.13","459.80M","2.34%"
"10/24/2022","1,129.80","1,119.41","1,134.79","1,100.39","459.52M","0.48%"
"10/21/2022","1,124.42","1,089.81","1,125.44","1,085.24","422.96M","2.92%"
"10/20/2022","1,092.49","1,097.41","1,119.22","1,088.71","448.25M","-1.74%"
"10/19/2022","1,111.87","1,115.07","1,123.52","1,100.99","387.77M","-1.18%"
"10/18/2022","1,125.10","1,146.77","1,146.98","1,114.56","485.31M","1.42%"
"10/17/2022","1,109.37","1,085.88","1,112.64","1,085.88","408.75M","4.23%"
"10/14/2022","1,064.35","1,119.27","1,124.16","1,063.19","445.62M","-3.88%"
"10/13/2022","1,107.27","1,062.65","1,113.16","1,051.35","536.62M","0.98%"
"10/12/2022","1,096.54","1,094.75","1,104.80","1,085.71","445.61M","0.23%"
"10/11/2022","1,093.99","1,098.65","1,116.31","1,086.87","462.69M","-0.81%"
"10/10/2022","1,102.95","1,111.30","1,115.09","1,092.53","478.13M","-0.61%"
"10/07/2022","1,109.73","1,133.37","1,134.92","1,103.60","435.26M","-3.54%"
"10/06/2022","1,150.47","1,158.18","1,166.38","1,145.61","422.31M","-0.71%"
"10/05/2022","1,158.71","1,146.02","1,165.85","1,134.82","483.91M","-0.54%"
"10/04/2022","1,165.04","1,154.45","1,176.83","1,151.29","602.30M","3.56%"
"10/03/2022","1,125.04","1,121.29","1,135.83","1,107.20","526.97M","0.24%"
"09/30/2022","1,122.31","1,130.91","1,154.56","1,119.27","708.05M","-1.83%"
"09/29/2022","1,143.25","1,164.62","1,165.31","1,132.06","462.80M","-3.38%"
"09/28/2022","1,183.21","1,154.81","1,189.14","1,150.36","421.51M","2.81%"
"09/27/2022","1,150.92","1,167.54","1,176.59","1,139.14","447.04M","0.29%"
"09/26/2022","1,147.57","1,144.76","1,172.59","1,144.76","463.75M","-0.18%"
"09/23/2022","1,149.64","1,161.79","1,162.83","1,134.91","502.55M","-2.29%"
"09/22/2022","1,176.63","1,196.01","1,199.93","1,170.48","454.56M","-2.16%"
"09/21/2022","1,202.64","1,234.57","1,246.76","1,202.54","456.43M","-2.37%"
"09/20/2022","1,231.86","1,240.83","1,245.30","1,221.67","539.51M","-1.69%"
"09/19/2022","1,253.01","1,226.06","1,253.30","1,224.45","337.50M","1.34%"
"09/16/2022","1,236.40","1,226.91","1,238.13","1,218.14","619.80M","-0.84%"
"09/15/2022","1,246.84","1,250.74","1,272.97","1,241.03","414.72M","-0.67%"
