Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
ISRG,"Intuitive Surg Inc",+45.71,361.03,-3.42,-0.94%,366.54,222.65,+39.84%,"10:09 ET"
IT,"Gartner Inc",+38.64,441.22,-0.33999999999997,-0.08%,469.58,292.6,+30.61%,"10:06 ET"
ITW,"Illinois Tool Works Inc",+10.20,253.35,-0.63,-0.25%,265,217.06,+9.87%,"10:09 ET"
IVZ,"Invesco Plc",+2.66,17.55,-0.31,-1.74%,20.56,12.48,-9.51%,"10:09 ET"
J,"Jacobs Engineering Group Inc",+5.89,131.28,-0.66999999999999,-0.51%,141.16,109,+2.41%,"10:02 ET"
JBHT,"J B Hunt Transport",+8.12,190.86,-2.11,-1.09%,209.21,163.66,+5.87%,"10:08 ET"
JBL,"Jabil Circuit",+64.76,128.74,-0.78,-0.60%,141.38,74.16,+73.59%,"10:09 ET"
JCI,"Johnson Controls Intl",-12.45,57.49,0.050000000000004,+0.09%,70.43,47.9,-14.54%,"10:09 ET"
JKHY,"Jack Henry & Assoc",-1.84,167.08,-0.53,-0.32%,184.18,136.57,-7.73%,"10:08 ET"
JNJ,"Johnson & Johnson",-4.02,161.51,-0.36000000000001,-0.22%,175.97,144.95,-7.69%,"10:09 ET"
JNPR,"Juniper Networks",+23.94,37.53,-0.060000000000002,-0.16%,37.72,24.87,+16.79%,"10:09 ET"
JPM,"JP Morgan Chase & Company",+24.54,168.78,-2.24,-1.31%,173.38,123.11,+21.33%,"10:09 ET"
K,Kellanova,-20.32,55.6,-0.19,-0.34%,72.3,47.63,-21.67%,"10:09 ET"
KDP,"Keurig Dr Pepper Inc",-9.83,31.88,0.11,+0.35%,36.23,27.66,-11.39%,"10:09 ET"
KEY,Keycorp,+0.85,13.99,-0.47,-3.25%,20.3,8.53,-22.58%,"10:09 ET"
KEYS,"Keysight Technologies Inc",-8.82,152.14,-0.86000000000001,-0.56%,189.32,118.57,-14.62%,"10:09 ET"
KHC,"Kraft Heinz Company",-5.09,37.6,-0.29,-0.77%,42.72,30.68,-11.60%,"10:09 ET"
KIM,"Kimco Realty Corp",+2.41,20.57,-0.39,-1.86%,23.27,16.34,-1.59%,"10:09 ET"
KLAC,"K L A-Tencor Corp",+38.93,555.3,-0.79000000000008,-0.14%,597.43,355.88,+34.06%,"10:09 ET"
KMB,"Kimberly-Clark Corp",-9.48,123.31,0.040000000000006,+0.03%,147.87,116.32,-9.60%,"10:09 ET"
KMI,"Kinder Morgan",-1.38,17.84,-0.11,-0.61%,19.09,15.89,-5.03%,"10:08 ET"
KMX,"Carmax Inc",+6.34,70.82,-1.76,-2.42%,87.5,55.76,+6.44%,"10:09 ET"
KO,"Coca-Cola Company",-0.96,60,-0.2,-0.33%,64.99,51.55,-3.23%,"10:09 ET"
KR,"Kroger Company",+1.39,45.99,-0.15,-0.33%,50.36,42.1,+1.06%,"10:09 ET"
KVUE,"Kenvue Inc",-17.71,21.56,-0.21,-0.96%,27.8,17.82,N/A,"10:09 ET"
L,"Loews Corp",+22.34,70.64,-0.33,-0.46%,71.49,52.85,+18.37%,"10:09 ET"
LDOS,"Leidos Holdings Inc",+17.97,108.74,-0.97,-0.88%,111.39,76.58,+9.44%,"10:09 ET"
LEN,"Lennar Corp",+63.15,152.63,-0.72,-0.47%,156.01,94.11,+56.16%,"10:09 ET"
LH,"Laboratory Corp of America Holdings",+10.94,222.01,-3.36,-1.49%,234.09,174.2,+5.17%,"10:09 ET"
LHX,"L3Harris Technologies Inc",+5.69,201.84,-1.63,-0.80%,219.31,160.25,+0.99%,"10:09 ET"
LIN,"Linde Plc",+20.30,404.42,-1.46,-0.36%,434.21,318.88,+22.73%,"10:09 ET"
LKQ,"LKQ Corp",-20.28,46.47,-0.55,-1.17%,59.38,41.49,-18.72%,"10:08 ET"
LLY,"Eli Lilly and Company",+76.37,634.15,3.9599999999999,+0.63%,637.05,309.2,+74.53%,"10:09 ET"
LMT,"Lockheed Martin Corp",+0.72,453.4,-2,-0.44%,508.1,393.77,-2.09%,"10:09 ET"
LNT,"Alliant Energy Corp",-6.46,50.7,-1.21,-2.33%,56.26,45.15,-8.67%,"10:09 ET"
LOW,"Lowe's Companies",+5.68,219.84,-0.37,-0.17%,237.21,181.85,+5.50%,"10:09 ET"
LRCX,"Lam Research Corp",+58.12,747.42,-2.2700000000001,-0.30%,801.29,453.4,+62.59%,"10:08 ET"
LULU,"Lululemon Athletica",+56.58,480.19,-3.91,-0.81%,516.39,286.58,+54.71%,"10:09 ET"
LUV,"Southwest Airlines Company",-15.84,29.13,-0.58,-1.95%,39.53,21.91,-18.10%,"10:09 ET"
LVS,"Las Vegas Sands",-12.31,48.69,-0.6,-1.22%,65.58,43.77,-7.81%,"10:09 ET"
LW,"Lamb Weston Holdings Inc",+9.61,106.58,-0.60000000000001,-0.56%,117.38,81.25,+9.98%,"10:09 ET"
LYB,"Lyondellbasell Industries NV",-0.17,93.1,-1.23,-1.30%,102.04,81.24,+0.96%,"10:08 ET"
LYV,"Live Nation Entertainment",+19.63,89.28,-0.22,-0.25%,101.74,64.25,+21.83%,"10:09 ET"
MA,"Mastercard Inc",+16.86,427.59,-0.68000000000001,-0.16%,431.39,340.21,+13.41%,"10:09 ET"
MAA,"Mid-America Apartment Communities",-17.31,131.11,-1.47,-1.11%,176.36,115.56,-18.33%,"10:09 ET"
MAR,"Marriot Int Cl A",+43.41,227.32,0.54999999999998,+0.24%,228.29,153.56,+43.57%,"10:07 ET"
