"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2023","513.02","530.45","530.45","512.07","1.17B","-3.29%"
"03/16/2023","530.45","519.97","535.66","512.23","954.88M","1.94%"
"03/15/2023","520.33","535.56","535.56","513.23","931.80M","-2.84%"
"03/14/2023","535.56","525.63","544.73","525.63","1.01B","1.89%"
"03/13/2023","525.63","543.11","543.11","520.47","1.35B","-3.78%"
"03/10/2023","546.28","556.04","559.23","540.13","843.09M","-1.76%"
"03/09/2023","556.04","579.84","579.84","553.47","528.01M","-4.10%"
"03/08/2023","579.84","582.20","584.42","577.04","247.33M","-0.41%"
"03/07/2023","582.20","597.36","597.36","580.76","303.57M","-2.54%"
"03/06/2023","597.36","597.05","601.17","595.86","231.53M","0.05%"
"03/03/2023","597.05","587.65","597.15","587.65","231.57M","1.60%"
"03/02/2023","587.65","590.77","590.77","581.08","266.82M","-0.53%"
"03/01/2023","590.77","593.02","593.58","588.78","222.91M","-0.38%"
"02/28/2023","593.02","592.03","596.02","591.48","280.40M","0.17%"
"02/27/2023","592.03","592.38","598.55","590.92","206.11M","-0.06%"
"02/24/2023","592.38","591.76","593.95","585.76","209.80M","0.10%"
"02/23/2023","591.76","590.93","596.17","586.32","202.98M","0.14%"
"02/22/2023","590.93","592.12","594.03","588.18","224.32M","-0.20%"
"02/21/2023","592.12","604.28","604.28","589.28","237.95M","-2.01%"
"02/17/2023","604.28","604.00","605.06","599.51","213.67M","0.05%"
"02/16/2023","604.00","610.53","610.53","603.36","176.36M","-1.07%"
"02/15/2023","610.53","609.58","610.63","604.64","167.78M","0.16%"
"02/14/2023","609.58","612.87","615.79","606.15","213.26M","-0.54%"
"02/13/2023","612.87","606.18","612.91","605.46","191.48M","1.10%"
"02/10/2023","606.18","603.75","606.63","599.28","208.52M","0.40%"
"02/09/2023","603.75","611.26","615.20","602.94","227.86M","-1.23%"
"02/08/2023","611.26","614.71","616.32","609.93","224.02M","-0.56%"
"02/07/2023","614.71","607.63","616.58","604.22","244.12M","1.16%"
"02/06/2023","607.64","608.50","608.50","603.28","213.00M","-0.14%"
"02/03/2023","608.50","609.12","613.23","604.98","275.19M","-0.10%"
"02/02/2023","609.12","608.01","611.76","604.71","338.41M","0.18%"
"02/01/2023","608.01","607.90","613.18","600.43","325.45M","0.02%"
"01/31/2023","607.90","599.89","607.91","598.36","341.77M","1.34%"
"01/30/2023","599.89","603.02","604.00","599.34","232.75M","-0.52%"
"01/27/2023","603.02","602.72","606.47","601.60","264.26M","0.05%"
"01/26/2023","602.72","599.75","603.68","597.36","250.09M","0.50%"
"01/25/2023","599.75","595.37","599.86","589.92","266.35M","0.74%"
"01/24/2023","595.37","594.75","597.84","587.14","225.68M","0.10%"
"01/23/2023","594.75","588.16","597.28","586.77","289.06M","1.12%"
"01/20/2023","588.16","578.62","588.29","578.40","352.96M","1.65%"
"01/19/2023","578.61","585.64","585.64","575.11","347.70M","-1.20%"
"01/18/2023","585.64","596.59","597.20","585.29","330.08M","-1.84%"
"01/17/2023","596.59","600.66","600.66","595.18","349.72M","-0.68%"
"01/13/2023","600.66","596.43","601.61","586.71","357.50M","0.71%"
"01/12/2023","596.43","595.06","599.96","592.73","258.29M","0.23%"
"01/11/2023","595.06","589.99","595.24","589.99","247.18M","0.86%"
"01/10/2023","589.99","586.18","590.21","583.80","217.04M","0.65%"
"01/09/2023","586.18","588.73","594.04","585.12","266.51M","-0.43%"
"01/06/2023","588.73","575.62","590.40","575.62","234.98M","2.28%"
"01/05/2023","575.62","580.95","580.95","572.00","214.51M","-0.92%"
"01/04/2023","580.95","571.88","584.80","571.88","271.78M","1.59%"
