"Date","Price","Open","High","Low","Vol.","Change %"
"09/13/2021","1,539.73","1,550.27","1,557.49","1,532.21","190.87M","-0.61%"
"09/10/2021","1,549.18","1,565.77","1,570.65","1,549.05","167.62M","-0.94%"
"09/09/2021","1,563.83","1,582.63","1,583.78","1,563.39","177.60M","-1.17%"
"09/08/2021","1,582.35","1,583.04","1,585.01","1,576.77","140.78M","-0.08%"
"09/07/2021","1,583.58","1,590.87","1,590.87","1,573.32","165.90M","-0.57%"
"09/03/2021","1,592.61","1,590.67","1,594.93","1,582.15","132.88M","0.11%"
"09/02/2021","1,590.92","1,577.38","1,590.92","1,577.38","160.06M","1.08%"
"09/01/2021","1,573.95","1,573.93","1,574.41","1,559.64","219.10M","0.02%"
"08/31/2021","1,573.61","1,575.94","1,583.45","1,568.22","191.03M","-0.13%"
"08/30/2021","1,575.60","1,563.96","1,581.26","1,563.96","136.19M","0.61%"
"08/27/2021","1,566.06","1,569.72","1,576.48","1,564.64","141.66M","-0.16%"
"08/26/2021","1,568.63","1,574.77","1,578.98","1,565.93","134.21M","-0.40%"
"08/25/2021","1,574.93","1,578.44","1,578.44","1,568.78","168.72M","-0.26%"
"08/24/2021","1,578.96","1,583.81","1,584.15","1,575.09","176.07M","-0.34%"
"08/23/2021","1,584.42","1,588.00","1,594.07","1,584.23","218.63M","-0.02%"
"08/20/2021","1,584.73","1,577.21","1,589.67","1,573.62","156.34M","0.51%"
"08/19/2021","1,576.66","1,564.71","1,584.14","1,558.11","190.76M","0.49%"
"08/18/2021","1,569.02","1,592.06","1,592.76","1,568.16","229.33M","-1.46%"
"08/17/2021","1,592.32","1,571.71","1,592.56","1,570.29","221.58M","1.12%"
"08/16/2021","1,574.69","1,556.85","1,574.89","1,551.54","179.02M","1.13%"
"08/13/2021","1,557.13","1,549.44","1,557.28","1,549.44","144.93M","0.60%"
"08/12/2021","1,547.82","1,537.50","1,548.67","1,535.59","176.81M","0.77%"
"08/11/2021","1,536.02","1,549.95","1,555.49","1,534.53","229.64M","-0.97%"
"08/10/2021","1,551.06","1,555.04","1,558.47","1,545.04","254.41M","-0.24%"
