,Market Capitalization,Book to Market Ratio
CSCO,210325717000.0,0.2108776835882604
CSGP,34245323000.0,0.20061486936478887
CSX,68947173000.0,0.18311120602435724
CTAS,61194629000.0,0.06314256762631897
CTLT,8824312000.0,0.5411186730478251
CTRA,18526489000.0,0.6838856515122752
CTSH,38663954000.0,0.3183585413949127
CTVA,31691665000.0,0.7983802681241267
CVS,95140512000.0,0.7543474224734044
CVX,268230394000.0,0.5974043344245321
CZR,9881722000.0,0.37958971118596535
D,37714440000.0,0.7392659151242866
DAL,23795261000.0,0.27660969972130167
DD,31990823000.0,0.8445234434887781
DE,107681358000.0,0.20324780822322097
DFS,25115826000.0,0.5711140059658002
DG,29416989000.0,0.18838678560881944
DGX,14591815000.0,0.403856545604505
DHI,52514099000.0,0.44060357962154123
DHR,171408884000.0,0.29217855475915705
DIS,174026834000.0,0.5704694943769419
DLR,43485753000.0,0.4512315562294621
DLTR,28628380000.0,0.3056931618205431
DOV,20768070000.0,0.20639212021145922
DOW,37973631000.0,0.545589122093697
DPZ,14929417000.0,-0.2805913318651358
DRI,19303983000.0,0.11404382194078808
DTE,21558211000.0,0.4822756396623078
DUK,73687777000.0,0.669337602625738
DVA,9557741000.0,0.2327746692445422
DVN,26384028000.0,0.4232484895786193
DXCM,48518398000.0,0.043937971736000024
EA,37432001000.0,0.19483329250819373
EBAY,21491790000.0,0.23976597575167075
ECL,57276072000.0,0.12673005928199824
ED,30793624000.0,0.67179491442774
EFX,30694586000.0,0.12944628085226495
EG,16258384000.0,0.5191167830701994
EIX,25702959000.0,0.6817113936181434
EL,45858091000.0,0.12178875915266513
ELV,110682145000.0,0.3282372238087724
EMN,10270337000.0,0.5098177401578936
EMR,54740566000.0,0.3779464026732935
ENPH,15198127000.0,0.05432070675551007
EOG,64362271000.0,0.38499263023208113
EPAM,17201095000.0,0.174582490242627
EQIX,75012833000.0,0.15338484816324693
EQR,22605027000.0,0.5176261014861872
EQT,14503565000.0,0.7731428790094022
ES,18399001000.0,0.8409781596294277
ESS,15864026000.0,0.3733141889706938
ETN,97129726000.0,0.17541488792009977
ETR,20794141000.0,0.6235883944424537
ETSY,8442093000.0,-0.06482681486688195
EVRG,11495239000.0,0.8250111198209972
EW,45384393000.0,0.12794486421797027
EXC,34695111000.0,0.713184056393421
EXPD,18682485000.0,0.16646720176678853
EXPE,20224600000.0,0.1128823314181739
EXR,32170764000.0,0.12676957252243062
F,44833038000.0,0.9628390563227056
FANG,27194980000.0,0.5769447155320577
FAST,39758471000.0,0.07956040361813713
FCX,54735016000.0,0.4543891975842302
FDS,17935266000.0,0.0903209353014335
FDX,62645674000.0,0.41643737443067497
FE,21070488000.0,0.5051140723461175
FFIV,10793867000.0,0.2186514805120352
FI,84338139000.0,0.37572562515281493
FICO,31827454000.0,-0.021616243636704335
