,Cnsmr,Manuf,HiTec,Hlth ,Other
193705,  -1.87,   0.00,   1.17,   1.68,  -3.34
193706,  -5.41,  -3.49,  -0.01,  -4.12,  -8.95
193707,   8.88,   9.90,   6.32,   4.14,   8.74
193708,  -2.83,  -5.60,  -3.65,   1.09,  -8.34
193709, -11.45, -15.74,  -8.04, -10.76, -15.93
193710,  -8.94, -11.00,  -6.21,  -3.55, -10.12
193711, -10.75,  -8.70,  -4.05,  -5.12,  -6.87
193712,  -7.29,  -3.05,  -1.84,  -2.41,  -6.63
193801,   5.76,  -1.20,  -2.45,   3.52,   0.49
193802,   4.82,   8.38,   0.69,   8.61,   4.88
193803, -20.45, -24.96, -22.25, -14.44, -29.77
193804,  13.81,  14.60,  14.91,  11.82,  14.54
193805,  -2.78,  -5.60,  -0.87,   1.71,  -3.96
193806,  21.24,  27.74,  18.89,  10.07,  24.87
193807,  10.87,   6.26,   3.41,   5.80,  10.01
193808,  -0.65,  -4.32,  -0.42,   0.36,  -3.72
193809,   0.46,   1.39,   1.20,  -0.01,  -1.25
193810,   6.24,   8.37,   6.67,   5.63,  11.11
193811,  -1.58,  -1.77,  -1.81,   1.44,  -2.01
193812,   2.15,   5.22,   2.81,   0.85,   6.34
193901,  -4.28,  -7.38,  -2.69,  -0.96,  -8.66
193902,   4.76,   2.63,   3.17,   3.72,   4.69
193903, -10.42, -13.53,  -8.06,  -4.33, -14.98
193904,   0.47,  -0.70,   0.43,   1.00,  -1.81
193905,   7.58,   6.16,   6.68,   5.49,   8.04
193906,  -3.59,  -5.94,  -5.55,   1.10,  -7.64
193907,  10.02,  10.44,   9.61,   3.08,  11.57
193908,  -7.23,  -6.02,  -5.86,  -5.43,  -9.99
193909,   9.65,  23.43,   6.50,   7.07,  25.74
193910,   2.26,  -2.35,   1.31,   0.21,  -1.60
193911,  -1.70,  -5.48,  -0.57,   1.22,  -5.07
193912,   3.37,   2.90,   3.18,   3.77,   2.40
194001,  -0.71,  -3.49,  -1.85,  -1.79,  -2.68
194002,   1.67,   1.79,   0.37,   1.48,   0.88
194003,   2.65,   1.60,   1.93,   1.90,   2.63
194004,   0.58,   0.36,  -0.43,  -0.31,  -0.76
194005, -23.34, -22.45, -16.86, -21.21, -24.04
194006,   7.21,   6.22,   6.48,   4.91,   8.59
194007,   2.83,   3.47,   3.12,  -0.52,   3.39
194008,   3.61,   1.77,   1.06,  -2.29,   2.89
194009,   2.92,   1.92,   2.67,   4.61,   2.48
194010,   0.68,   4.52,   1.94,  -3.00,   5.31
194011,  -1.15,  -2.47,  -0.77,  -1.82,  -0.12
194012,  -0.77,   1.50,   1.21,  -0.23,   0.24
194101,  -4.11,  -5.44,  -2.28,  -2.19,  -1.60
194102,  -1.33,  -1.64,  -1.50,  -4.69,  -0.31
194103,   0.00,   0.96,   1.21,   1.77,   1.80
194104,  -6.40,  -4.46,  -7.32,  -5.22,  -4.44
194105,   0.03,   3.24,   0.09,  -1.45,  -0.92
194106,   5.28,   5.91,   7.22,   6.72,   4.50
194107,   4.87,   7.93,   0.48,   8.03,   7.53
194108,   1.65,  -1.52,   0.93,   0.08,   0.20
194109,   2.13,  -2.32,  -0.16,  -0.21,  -2.58
194110,  -6.86,  -4.50,  -5.66,  -3.69,  -4.13
194111,  -3.64,  -0.61,  -3.28,  -2.93,  -1.54
194112,  -7.70,  -3.35,  -5.13,  -1.59,  -5.37
194201,   3.11,  -1.53,  -0.43,  -2.99,   9.55
194202,  -1.58,  -3.32,  -1.35,  -5.35,  -1.87
194203,  -5.03,  -6.83,  -6.65,  -5.54,  -8.98
194204,  -4.60,  -4.23,  -5.81,  -4.45,  -2.02
194205,   9.84,   3.59,   7.78,  14.69,   3.54
194206,   2.73,   3.60,   0.61,   2.85,   1.99
194207,   2.90,   3.36,   3.30,   1.60,   6.58
194208,   1.51,   1.89,   1.72,   2.43,   2.42
194209,   0.97,   3.21,   3.38,   0.26,   3.38
194210,   4.03,   8.20,   6.22,   4.13,   8.91
194211,   2.63,  -1.36,   2.36,   1.58,  -2.06
194212,   5.39,   5.82,   2.88,   8.69,   4.44
194301,   7.31,   7.47,   6.50,   2.47,   7.06
194302,   4.81,   6.24,   6.30,   3.64,   9.47
194303,   5.56,   6.17,   3.70,   4.56,  10.09
194304,   1.06,  -0.23,   2.75,   1.40,   2.19
194305,   6.78,   5.38,   5.35,   5.13,   5.59
194306,   3.81,   1.28,   2.34,   0.50,  -0.80
194307,  -4.84,  -5.01,  -3.54,  -3.26,  -5.19
194308,   2.44,   0.92,   0.72,   0.26,   1.41
194309,   2.01,   2.40,   3.13,   4.02,   2.18
194310,  -1.07,  -1.07,  -1.19,   0.57,  -1.09
194311,  -4.80,  -6.79,  -3.85,  -3.93,  -7.99
194312,   6.91,   6.44,   5.27,   3.94,   7.16
194401,   2.23,   1.30,   0.75,   0.29,   4.50
194402,   1.22,  -0.03,  -0.47,  -2.64,   2.07
194403,   3.34,   2.10,   2.09,   2.46,   2.66
194404,  -1.47,  -1.72,  -1.18,  -2.36,  -2.46
194405,   6.14,   5.09,   3.19,   5.68,   4.27
194406,   6.94,   4.89,   5.14,   3.85,   5.95
194407,  -1.89,  -1.50,  -1.04,  -1.24,  -0.77
194408,   3.17,   1.07,   1.26,   0.76,   0.36
194409,   0.54,  -0.24,  -0.16,   0.43,   0.10
194410,  -0.84,   0.49,   0.78,   1.09,   0.67
194411,   1.95,   1.25,   1.11,   0.52,   4.31
194412,   2.71,   4.39,   2.54,   1.71,   8.46
194501,   1.59,   3.74,  -0.79,   0.56,   0.62
194502,   5.34,   6.97,   4.66,   4.25,   7.89
194503,  -3.66,  -4.74,  -1.93,  -1.83,  -3.53
194504,   8.49,   8.13,   5.19,   6.33,   8.81
194505,   2.73,   0.42,   2.80,   4.11,   3.11
194506,  -0.93,   0.32,   0.41,  -4.65,   4.48
194507,  -0.95,  -2.76,   0.32,  -1.62,  -5.48
194508,   8.42,   6.01,   5.48,   9.19,   2.52
194509,   4.92,   5.05,   2.63,   6.51,   6.08
194510,   4.39,   3.80,   1.57,   6.61,   5.76
194511,   4.17,   5.81,   3.05,   8.58,   9.11
194512,   2.25,   0.76,   1.52,   1.53,   0.15
194601,   7.05,   6.07,   4.14,   7.76,   7.38
194602,  -5.95,  -5.67,  -5.10,  -4.31,  -6.14
194603,   6.15,   7.17,   1.65,  14.57,   4.68
194604,   4.01,   5.55,   1.64,  14.67,   1.68
194605,   3.41,   4.41,   3.97,   5.64,   3.39
194606,  -5.49,  -3.37,  -2.48,  -5.52,  -3.25
194607,  -2.50,  -2.43,  -1.64,  -3.22,  -4.97
194608,  -6.54,  -6.23,  -6.95,  -3.24,  -6.80
194609, -10.70,  -9.55,  -7.15,  -7.03, -14.38
194610,  -1.32,  -1.13,  -4.05,  -0.24,  -0.46
194611,  -2.34,   1.28,  -0.05,   1.67,   0.01
194612,   4.44,   5.92,   4.21,   7.23,   2.74
194701,   3.08,   0.33,   3.05,  -5.32,   0.47
194702,   0.18,  -1.27,  -2.06,  -4.19,  -1.28
194703,  -2.34,  -0.67,  -2.21,  -1.26,  -3.33
194704,  -6.31,  -3.98,  -2.59,  -8.60,  -6.27
194705,  -0.93,  -0.77,  -0.72,  -2.68,  -2.07
194706,   7.26,   6.15,   0.09,   4.19,   3.19
194707,   4.79,   3.70,   3.46,   2.60,   5.99
194708,  -1.82,  -1.24,  -1.89,  -3.83,  -3.19
194709,  -0.56,  -0.59,   0.98,  -2.62,  -0.96
194710,   2.25,   3.42,   0.95,   1.22,   0.99
194711,  -2.16,  -1.74,  -1.59,  -3.04,  -1.95
194712,   1.04,   4.48,   1.44,   3.10,   3.72
194801,  -3.60,  -4.70,  -2.68,  -8.23,  -0.87
194802,  -5.29,  -4.37,  -2.45,  -3.53,  -4.11
194803,   6.29,   9.35,   6.28,   6.33,   9.94
194804,   2.31,   5.14,   1.04,   2.14,   3.25
194805,   8.67,   7.03,   7.51,   6.78,   6.76
194806,  -1.13,   0.90,  -0.51,  -2.19,  -0.75
194807,  -4.17,  -5.66,  -4.11,  -4.25,  -4.99
194808,   1.01,  -0.44,   1.51,  -1.90,   1.53
194809,  -3.10,  -3.04,  -1.67,  -3.08,  -3.44
194810,   5.05,   7.23,   3.89,   5.19,   4.96
194811,  -7.78, -10.69,  -5.64,  -5.74, -10.58
194812,   1.72,   4.09,   3.58,   4.54,   2.85
194901,   2.60,  -0.52,  -1.30,   4.57,   0.32
194902,  -2.54,  -3.18,  -2.22,  -0.93,  -3.20
194903,   3.60,   4.38,   3.50,   5.50,   4.90
194904,  -2.38,  -1.36,  -2.66,   0.24,  -1.52
194905,  -0.93,  -3.70,  -3.70,  -1.88,  -2.69
194906,   1.62,  -0.39,   0.64,   2.16,  -1.38
194907,   6.24,   5.85,   4.48,   6.00,   4.19
194908,   2.78,   3.44,   0.87,   0.19,   1.45
194909,   2.63,   3.66,   2.36,   1.86,   3.39
194910,   2.91,   3.68,   2.77,   3.38,   2.42
194911,   2.76,   1.31,   2.74,   4.81,   1.23
194912,   5.94,   4.35,   5.27,   8.70,   7.18
195001,   1.26,   1.46,   3.21,   1.06,   3.20
195002,   1.91,   1.29,   2.06,   1.92,   1.01
195003,   0.28,   1.92,   3.46,  -2.90,  -0.70
195004,   3.22,   5.21,   3.58,   5.52,   1.52
195005,   3.81,   6.18,   1.07,   3.96,   1.35
195006,  -4.80,  -6.11,  -6.17,  -4.19,  -6.79
195007,  -1.01,   2.81,  -2.09,  -6.94,   7.51
195008,   5.84,   5.25,   3.84,   3.68,   2.32
195009,   7.16,   4.20,   2.17,   6.16,   6.51
195010,   0.29,   0.22,  -0.63,  -1.76,  -1.51
195011,  -0.60,   4.65,   1.18,   4.68,   3.94
195012,   2.37,   6.84,   2.88,   6.06,  11.06
195101,   5.86,   6.02,   4.82,   3.10,   6.39
195102,   2.17,   1.41,   2.46,   1.46,  -0.42
195103,  -1.24,  -2.60,  -1.00,   1.70,  -2.84
195104,   1.66,   7.12,   2.03,  10.41,   3.75
195105,  -2.73,  -2.13,  -1.62,   1.57,  -3.27
195106,  -4.46,  -1.77,  -0.91,   0.83,  -5.12
195107,   3.04,   8.92,   4.20,  14.46,   7.40
195108,   4.43,   4.76,   4.26,  -1.43,   3.45
195109,   1.68,   0.05,   1.66,  -1.82,   3.57
195110,  -2.74,  -1.67,  -3.78,  -5.97,  -3.63
195111,   1.09,   0.19,   1.51,  -0.48,   2.09
195112,   1.51,   4.42,   2.90,   5.14,   2.13
195201,  -0.34,   2.56,  -0.76,   0.65,   3.32
195202,  -1.62,  -3.00,  -1.99,  -4.25,  -1.57
195203,   4.28,   4.89,   3.24,   0.45,   5.84
195204,  -2.81,  -6.27,  -2.09,  -5.50,  -3.40
195205,   2.95,   3.80,   1.99,   2.52,   2.94
195206,   3.78,   4.22,   4.00,  -0.96,   4.02
195207,   1.66,   1.03,   0.82,  -4.38,   1.13
195208,   1.03,  -1.46,   0.34,  -0.57,  -0.14
195209,  -1.52,  -2.46,   0.34,  -4.09,  -1.37
195210,  -0.14,  -0.57,  -0.07,  -1.49,  -1.57
195211,   5.83,   5.80,   6.58,   7.22,   7.27
195212,   3.56,   3.18,   1.98,  -1.95,   3.74
195301,   0.82,  -0.53,  -0.68,  -5.11,   1.08
195302,   0.11,  -0.30,   0.05,   2.06,  -0.22
